description,category
credit card repayment bought because needed - Rs 999,bills
Cleartrip - bus ticket to city,travel
late night snack from Dominos - Rs 999,food
Jio - mobile postpaid bill Jio,utilities
home decor items bought for home use,home
IndiGo ride to airport got it during sale,travel
Home Centre - floor cleaner and mop,home
recharge jio - Croma,electronics
exam form fee,education
bus ticket to city,travel
Amazon Prime - Amazon Prime annual plan,subscription
renewed subscription,subscription
PVR - PVR movie ticket,entertainment
Uber - flight ticket to delhi,travel
bike service at Car Service Center got it during sale,auto
lab test at Healthcare Clinic purchased from nearby store,health
Godrej Gift - birthday gift for friend,gifts
bus tkt to city,travel
Shell Fuel - car wash and cleaning - Rs 249,auto
"bread, butter, cereal from Spencer's - Rs 249",groceries
Water Supply electricity bill ordered online,utilities
bus ticket to city got it during sale,travel
KFC,food
NEFT received paid for,finance
upi payment paid for,finance
"Local Kirana - milk, eggs, vegetables",groceries
water bill payment - Rs 50,utilities
upi payment,finance
Godrej Gift - birthday gift for friend,gifts
birthday gift for friend paid for,gifts
"bread, butter, cereal from Local Kirana bought for home use",groceries
exam form fee bought because needed,education
MakeMyTrip - flight ticket to delhi,travel
Spotify monthly subscription,subscription
stationery purchase at Udemy bought for home use,education
bought T-shirt from Zara paid for,shopping
refund from amazon - new bedsheet purchase from Local Home Store,home
bought flowers from Flower Store,gifts
refund from amazon - H&M online - summer dress bought because needed,shopping
bread,groceries
membership renewal Amazon Prime,subscription
NEFT received,finance
fruits and veg purchase at DMart,groceries
house rent for september got it during sale - Rs 1200,rent
Croma purchase - bluetooth headphone,electronics
Zomato order,food
Local Home Store - floor cleaner and mop,home
new backpack from H&M,shopping
NEFT received,finance
engine oil change at Bikeman Garage bought for home use,auto
late fee payment - Rs 249,bills
new backpack from Lifestyle,shopping
security deposit for rent - Rs 249,rent
lab test at MedPlus - Rs 150,health
monthly groceries from Big Bazaar got it during sale,groceries
security deposit for rent,rent
face wash and moisturizer from Beauty Store,personal_care
mumma grocery - freelance payment client xyz - Rs 100,salary
late fee payment,bills
new bedsheet purchase from Ikea,home
Electricity Board - internet recharge via Electricity Board,utilities
Local Mall - sneakers purchase purchased from nearby store,shopping
Car Service Center - petrol full tank bought for home use,auto
face wash and moisturizer from Local Pharmacy,personal_care
Electricity Board - internet recharge via Electricity Board,utilities
paid bhaiya for delivery - BSNL - water bill payment,utilities
Stationery Shop - python course,education
Netflix monthly subscription ordered online,subscription
Mi Store,electronics
Amazon Prime annual plan,subscription
Jio electricity bill,utilities
internet recharge via Jio,utilities
paid bhaiya for delivery - Home Centre,home
doctor consult - fever,health
maintenance charges for flat paid for,bills
mobile postpaid bill Jio,utilities
bank transfer to friend,finance
fruits and veg purchase at Reliance Fresh,groceries
emi deducted - bought flowers from Flower Store purchased from nearby store - Rs 499,gifts
anniversary gift shopping,gifts
Dominos - dinner at Dominos with friends,food
upi payment got it during sale,finance
mobile postpaid bill BSNL paid for,utilities
water bill payment,utilities
bhai petrol bharwaya - house rent for september,rent
Water Supply electricity bill bought for home use,utilities
lab test at Practo bought because needed,health
bank transfer to friend ordered online,finance
Landlord Rent - rent payment to landlord,rent
breakfast - paratha and chai,food
new backpack from Ajio bought because needed,shopping
exam form fee,education
new backpack from Zara paid for,shopping
fruits and veg purchase at Nature's Basket ordered online,groceries
ordered power bank from Croma paid for - Rs 150,electronics
gift box chocolates,gifts
IRCTC ride to airport purchased from nearby store,travel
concert ticket booking got it during sale,entertainment
face wash and moisturizer from Local Pharmacy got it during sale,personal_care
lab test at City Hospital,health
engine oil change at Bikeman Garage bought because needed,auto
Coursera - python course bought because needed - Rs 299,education
apartment rent monthly,rent
Lifestyle online,shopping
"bread, butter, cereal from DMart bought because needed",groceries
Apollo Pharmacy - lab test at Apollo Pharmacy,health
late fee payment got it during sale,bills
Paytm Wallet - upi payment,finance
mobile postpaid bill Jio,utilities
Lifestyle,shopping
apartment rent monthly - Rs 249,rent
refund from amazon - bought flowers from Gift Shop ordered online,gifts
fruits and veg purchase at Spencer's,groceries
ott subscription rental got it during sale,entertainment
membership renewal YouTube Premium,subscription
gift box chocolates,gifts
Food Stall order - burger and fries,food
freelance payment client xyz purchased from nearby store,salary
lab test at Apollo Pharmacy paid for,health
TataCliq - tempered glass screen protector,electronics
NEFT received,finance
H&M - Rs 299,shopping
lab test at Apollo Pharmacy,health
Ikea,home
Pizza Hut order - Rs 50,food
Ikea,home
Credit Card Payment - maintenance charges for flat,bills
Zara online - summer dress purchased from nearby store,shopping
Beauty Store - perfume Beauty Store,personal_care
car wash and cleaning paid for - Rs 1200,auto
credit card repayment,bills
bike service at Car Service Center,auto
car wash and cleaning,auto
PVR - game purchase on PVR,entertainment
"bread, butter, cereal from Grofers purchased from nearby store",groceries
Maintenance - late fee payment,bills
Apollo Pharmacy - paracetamol and vitamins - Rs 249,health
water bill payment,utilities
lab test at Healthcare Clinic,health
Beauty Store - sunscreen spf 50 purchased from nearby store,personal_care
KFC order - burger and fries,food
upi payment bought because needed,finance
Car Service Center - petrol full tank got it during sale,auto
flight ticket to delhi,travel
Sephora - Rs 199,personal_care
MakeMyTrip ride to airport paid for - Rs 199,travel
lab test at Practo - Rs 299,health
bank transfer to friend,finance
engine oil change at HP Petrolpump got it during sale,auto
gift box chocolates got it during sale,gifts
bread,groceries
kitchen utensils from Ikea - Rs 499,home
Reliance Fresh,groceries
Ola ride to airport,travel
maintenance charges for flat,bills
Myntra,shopping
new bedsheet purchase from Local Home Store,home
Sephora - Rs 299,personal_care
doctor consult - fever bought for home use,health
fruits and veg purchase at Grofers purchased from nearby store,groceries
Lifestyle - sneakers purchase,shopping
lab test at Healthcare Clinic ordered online,health
home decor items,home
credit card repayment paid for,bills
breakfast,food
Samsung Shop purchase,electronics
flight ticket to delhi got it during sale,travel
Play Store movie ticket,entertainment
maintenance charges for flat,bills
breakfast,food
engine oil change at Shell Fuel,auto
ordered power bank from TataCliq got it during sale,electronics
pharmacy - antibiotics ordered online,health
Netflix annual plan,subscription
train booking via IRCTC bought for home use,travel
refund from amazon - flight ticket to delhi,travel
fruits and veg purchase at Reliance Fresh bought for home use,groceries
Amazon - tempered glass screen protector purchased from nearby store,electronics
Apollo Pharmacy,health
bike service at Bikeman Garage paid for,auto
gift box chocolates,gifts
membership renewal Netflix,subscription
late night snack from McDonald's,food
Amazon Prime monthly subscription,subscription
Healthcare Clinic,health
perfume Local Pharmacy,personal_care
gave tip to bhaiya - BSNL - internet recharge via BSNL,utilities
bus tickt to city paid for - Rs 999,travel
Steam movie ticket,entertainment
game purchase on PVR,entertainment
engine oil change at HP Petrolpump,auto
Ikea,home
bought flowers from Gift Shop bought for home use,gifts
game purchase on Steam - Rs 499,entertainment
concert ticket booking ordered online,entertainment
car wash and cleaning got it during sale,auto
upi payment,finance
Electricity Board - mobile postpaid bill Electricity Board,utilities
credit card repayment,bills
credit card repayment purchased from nearby store,bills
engine oil change at HP Petrolpump,auto
paid bhaiya for delivery - train booking via IRCTC,travel
Jio - mobile postpaid bill Jio,utilities
paid bhaiya for delivery - college fee payment,education
KFC order - burger and fries,food
Food Stall - pizza for dinner,food
Electricity Board - mobile postpaid bill Electricity Board,utilities
bike service at Shell Fuel,auto
doctor consult - fever bought because needed,health
Lifestyle - sneakers purchase bought for home use,shopping
credit card repayment - Rs 299,bills
face wash and moisturizer from Sephora,personal_care
face wash and moisturizer from Sephora - Rs 1200,personal_care
renewed subscription - Spotify purchased from nearby store,subscription
bought flowers from Godrej Gift,gifts
bank transfer to friend,finance
BookMyShow movie ticket,entertainment
breakfast,food
Local Home Store,home
wallet topup Paytm Wallet,finance
Netflix annual plan bought for home use - Rs 199,subscription
Spotify - membership renewal Spotify,subscription
anti ageing serum purchase,personal_care
City Hospital - paracetamol and vitamins,health
concert ticket booking,entertainment
bonus credited,salary
bread,groceries
Godrej Gift - bought flowers from Godrej Gift,gifts
credit card repayment,bills
Local Pharmacy - face wash and moisturizer from Local Pharmacy,personal_care
MakeMyTrip - MakeMyTrip ride to airport,travel
lab test at Healthcare Clinic got it during sale,health
kitchen utensils from Ikea got it during sale,home
Local Home Store - floor cleaner and mop,home
Shell Fuel,auto
